id,price,log_price,price_per_person,room_type,accommodates,n_reviews,municipality,cod_istat,dist_ski,dist_lake,dist_park,dist_station,dist_bus,dist_center,dist_supermarket,dist_restaurant,dist_bar,dist_pharmacy,dist_castle,dist_museum,lat,long
1479537142872986432,99.0,4.59511985013459,49.5,Entire home/apt,2,2,Trento,22205,1855.5846611581749,227.40226381576315,85.52431063689325,665.1659389986439,36.74390660365583,2451.062808386877,19.251192745356917,160.26299725640663,91.44459202662149,131.59484901208623,792.679386154709,1016.7944282434154,46.07052844381931,11.139565367389457
1479649224111740645,162.0,5.087596335232384,40.5,Entire home/apt,4,1,Pellizzano,22137,4190.1198773543365,650.7186015046437,223.9035030555928,3418.0300850053823,109.74955281980097,2546.906125954692,194.46815792489613,187.36642277214077,172.30545892515426,105.37826956618326,1564.9024683926846,3394.7538876409562,46.31226986989037,10.757131049686766
1479695806777695954,75.0,4.31748811353631,37.5,Entire home/apt,2,3,Dro,22079,12717.58001725317,103.70555399168053,3222.003556765276,10732.999279233276,239.14353134066099,2924.4879867389354,258.7031221817851,448.26995429402825,516.6095587044827,430.6312695308702,1943.131931938162,1549.637787950113,45.9644443761487,10.914826522101016
1479793130952656514,90.0,4.499809670330265,22.5,Entire home/apt,4,10,Riva del Garda,22153,12848.965962180962,367.70668157831824,78.0347390502048,588.4626557795782,113.16075347165943,1683.7134360270186,157.55710380721519,92.68752362673227,15.633297769414057,182.02941779790996,395.68549807920004,389.24358626702025,45.88813,10.84292
1480192152800198876,99.0,4.59511985013459,49.5,Entire home/apt,2,1,Trento,22205,498.43474020841177,328.05496822323613,425.0254619632619,779.1054345701455,133.37581882538979,695.7033553289298,387.99792047167097,29.378372255469216,133.18744588592787,316.49575425106417,373.53135680258026,333.11085417704584,46.065322566655794,11.117703022778578
1480225537255527086,166.0,5.111987788356544,83.0,Private room,2,0,Ziano di Fiemme,22226,5216.8564370624135,45.518209832481666,455.36916882546507,22120.90202701541,118.34466797636595,2275.206307864901,277.234496933575,2861.283539571211,213.93676374159114,4364.338348388608,20268.434047276744,4448.488067504047,46.284103801158366,11.562093287429931
1480990855588146988,177.0,5.176149732573829,44.25,Entire home/apt,4,5,Molveno,22120,265.0864880639071,443.7718620245448,5403.592570302879,9970.174719567807,139.52115416789576,1942.7983977366157,480.22105417404435,362.7085131491096,491.86184406398326,505.3203491974111,7942.290081702978,8466.397374171982,46.14706961915406,10.967173825182416
1481080739838174421,248.0,5.5134287461649825,124.0,Private room,2,0,Ziano di Fiemme,22226,5314.762320788022,160.50912416741147,578.3281811513783,22059.007819639686,162.19818313527898,2284.3385068598714,391.6010884750382,2748.020994401876,231.85610212910063,4517.147147251611,20188.577067135822,4601.28776423662,46.28316407079569,11.56064576418846
1481092365043465174,200.0,5.298317366548036,100.0,Private room,2,0,Riva del Garda,22153,13499.835139940074,318.859722619103,422.0542710120119,2086.7038727478057,107.23175286996509,2832.3644454111222,224.58323554992464,114.90239262638582,265.6921665862633,557.299652205322,1833.9695075164057,1854.6734005355504,45.89853979999999,10.8551944
1481094013012730438,271.0,5.602118820879701,135.5,Private room,2,0,Ziano di Fiemme,22226,5327.7116578984605,156.64958092041104,567.1626778081014,22157.791084356628,194.57898683406486,2202.4188066602414,388.28236891526507,2852.419385473141,322.12054434847556,4448.0125341831435,20291.046084311027,4532.359668600832,46.2831,11.562
